"Team","LowerCI95","UpperCI95","LowerCI85","UpperCI85","AdjWEPADiff","Season","LatestWeek"
"ARI",-23.4215931203412,6.61802139299474,-17.2210078188407,4.25011860661068,-6.67477666880287,2018,4
"ATL",-13.0169957747239,12.5965268976654,-9.0219173759048,8.92823215569701,0.30536775535235,2018,4
"BAL",2.09158746476872,30.789238893481,5.08814679468296,26.5858581846036,16.0439227954878,2018,4
"BUF",-27.7291818129727,10.8160317705162,-24.2258006418378,2.5992145518799,-10.1902833748983,2018,4
"CAR",-10.1672291501468,22.6857373092248,-2.53421986574422,17.166065769805,7.15765211311333,2018,4
"CHI",-2.68998600115074,30.7724505714305,1.98822296422563,25.4781248439846,14.6651735335816,2018,4
"CIN",-4.52427995610332,24.9992721054331,0.973760532160336,21.0397191918589,11.6276355593362,2018,4
"CLE",-16.5630929492943,7.43806197659596,-12.8128985420365,4.69470152299248,-3.85503694292907,2018,4
"DAL",-12.6896240017534,8.94797773167494,-9.81556097887305,6.56446212018984,-1.44834135886721,2018,4
"DEN",-10.3091456683906,8.94913846780233,-7.4080349893222,5.41519828989949,-1.11080410942781,2018,4
"DET",-28.6456233276235,3.82067103040929,-24.8569332052076,-0.549240450765812,-12.8867182023925,2018,4
"GB",-16.1874450111905,12.8687465556753,-10.6874638226037,9.54105249840874,-0.567290692430121,2018,4
"HOU",-17.7711969834808,15.3515928916745,-11.0659561712835,9.92863573132893,-0.290966764305662,2018,4
"IND",-20.4676336544245,16.5363139722965,-12.8236761006178,12.3537668478898,-0.12491571121043,2018,4
"JAX",-4.78483906129738,24.2907237582242,-0.353114288875325,18.5758276064901,9.02145666564228,2018,4
"KC",7.55007139879149,22.7099709164632,10.5028183609095,21.0800658983203,15.6640398286087,2018,4
"LA",-0.455894133815343,24.9264045849483,4.7997563645959,22.5202774465766,13.9109010024274,2018,4
"LAC",-6.25366238406146,11.872294505248,-4.49062112614736,8.71362000914462,1.79570948463594,2018,4
"LV",-19.8097288272945,2.06043742226801,-15.8795390093667,-1.55771720847024,-8.81650200573614,2018,4
"MIA",-20.0039108799874,10.3987239857271,-15.405377905562,6.91025862556484,-4.37033918144105,2018,4
"MIN",-33.3622720530133,1.34962983411053,-27.7110070816247,-2.57585556734535,-15.0250836502893,2018,4
"NE",-21.5193834533841,22.7486143368132,-15.6260875061253,15.3682790245902,0.399627575839666,2018,4
"NO",-6.64889473994547,19.7253377434122,-3.66389429536051,13.6982638977726,4.79013212611497,2018,4
"NYG",-15.6675982243685,8.41062810664465,-11.7811267949203,4.78235367516046,-3.57568221599455,2018,4
"NYJ",-17.3667980512846,12.6725331682279,-13.4929089142808,9.11598534183603,-1.51825444075779,2018,4
"PHI",-14.0352309218535,9.35360193437612,-9.59770589403048,7.33350037232285,-1.5260193113986,2018,4
"PIT",-11.433423145829,11.2627227521873,-7.31675967249119,8.87995713876419,0.760338391593283,2018,4
"SEA",-9.78141676171217,8.94127481069629,-6.60254371727676,6.36046608082711,0.261837485201148,2018,4
"SF",-16.0454892830964,4.84307533114159,-11.9301682786143,1.84794731043022,-4.5167184938778,2018,4
"TB",-15.1202325068893,15.8073227983773,-10.3457878464311,9.96207450751688,-0.212360250683688,2018,4
"TEN",-14.0121501614991,16.9336576500903,-10.0154167546845,11.4416431183129,0.116588231202316,2018,4
"WAS",-11.9589820763777,19.6883796538714,-7.19704870920765,15.4326736770737,2.62026838332757,2018,4
