"Team","LowerCI95","UpperCI95","LowerCI85","UpperCI85","AdjWEPADiff","Season","LatestWeek"
"ARI",-6.8022133372144,16.2171129001006,-3.42020968403268,12.9457108753437,4.5451947548429,2021,5
"ATL",-19.3574905116793,-1.03367497868544,-15.8145024042354,-3.20594363684754,-9.63629591897771,2021,5
"BAL",-2.16944440628214,22.8180643566642,1.55428038365202,17.884014305005,9.9745840260369,2021,5
"BUF",4.42268528370244,23.1490466661874,6.85141938169519,20.6709547521965,13.7616738864128,2021,5
"CAR",-7.44541207301854,12.5301081162733,-5.37313503624184,8.64989541168201,1.27433981827012,2021,5
"CHI",-15.5494544398315,8.4847702499074,-11.9386586225051,5.1110900698491,-3.18276805374496,2021,5
"CIN",-17.9450046244483,1.038997602001,-15.1892450628937,-1.64029666312607,-8.43699113241132,2021,5
"CLE",-7.79762493782558,11.7380985322284,-5.73064664659404,8.96613805478662,1.73535831439682,2021,5
"DAL",-1.56310906551216,18.4950799398444,1.42333030768088,15.4118444486802,8.70959288871172,2021,5
"DEN",-9.95197192255452,7.93785781694511,-7.24569220610772,4.80782243331865,-1.42116178339292,2021,5
"DET",-19.0323463637753,-2.06396719809607,-16.5685304823984,-4.78558548043107,-10.4009558768244,2021,5
"GB",-7.14475098358153,18.8050066374799,-1.7725667774288,16.2094717298467,6.98513182788039,2021,5
"HOU",-17.7144603545978,-0.40275308181184,-14.9984937772705,-3.4272329465856,-9.21349440216574,2021,5
"IND",-16.178828585478,3.37270766637663,-12.873750633831,0.116793967867942,-6.33828225032961,2021,5
"JAX",-28.7034833501536,-3.9673766848537,-24.9672095835538,-8.00763991276235,-16.119225736476,2021,5
"KC",-2.63821410901693,14.5638882647846,-0.408754660724956,12.1124303397426,6.0828717465879,2021,5
"LA",1.01745137347722,23.299293012642,3.53775236549284,19.4454185079022,11.3781638832852,2021,5
"LAC",2.39935736759024,17.0421068346129,4.70555210461288,15.3012628731783,9.47269523183997,2021,5
"LV",-12.1281118882622,6.56159497638566,-9.22536108913369,3.16047220391633,-3.13706792632492,2021,5
"MIA",-18.099889711569,-2.67472744328905,-15.6364178187599,-4.81754009905844,-10.0783658758547,2021,5
"MIN",-9.73411272673468,7.14948892127317,-7.38106900287493,4.40050302646601,-1.59596421968244,2021,5
"NE",-11.1289263174069,3.66650608683377,-9.28423438015907,1.85472224653807,-3.65670044799537,2021,5
"NO",-2.14964441166101,26.7375227093596,1.75146884957494,23.1907090829577,12.5287933076335,2021,5
"NYG",-12.4143652933065,10.2627829365689,-8.62685621624351,6.96915738933245,-0.870315909985694,2021,5
"NYJ",-20.0981905644477,1.13674835615121,-17.0780716064465,-2.17245059813762,-9.43744088709104,2021,5
"PHI",-12.4012637325882,7.08012283486347,-9.30645723233818,4.41711162102655,-2.53956844948045,2021,5
"PIT",-12.3631505524935,9.28694563341265,-9.51442502582348,5.9358941987356,-1.9215102905924,2021,5
"SEA",-1.30633268300273,16.0320669174822,1.15001449122615,13.1466257071122,7.02564980564915,2021,5
"SF",-9.07743588585262,10.9508743029069,-5.86510671595732,8.42715302042067,1.00907256121294,2021,5
"TB",2.29732049362092,18.4395902480486,4.29015910019259,15.9852413731282,10.0635191152524,2021,5
"TEN",-15.8541383563405,3.53091094743237,-12.4997857991477,1.60940034789997,-5.06283442081403,2021,5
"WAS",-8.26366893806222,5.82096939610704,-6.31941704023323,3.99097574309758,-1.17258331669722,2021,5
